,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
7951,Protochips,operating,USA,NC,5085.0,2625.0,0.0,0.0,3606.0,0.0,0,0,0,0,0,1,17.16969697,0.0,359970.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7952,Protonex Technology Corporation,acquired,USA,MA,5816.0,319.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,16.39393939,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7954,ProUroCare Medical,operating,USA,MN,6181.0,4288.0,0.0,0.0,4788.0,4864.0,0,0,0,0,0,1,15.82828283,0.0,13200.0,66000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7955,Provade,acquired,USA,CA,4355.0,753.0,753.0,0.0,0.0,1639.0,1,0,0,0,0,1,18.08080808,3000000.0,0.0,2475000.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7956,PROVECTUS PHARMACEUTICALS,operating,USA,TN,5085.0,2737.0,4180.0,0.0,0.0,3975.0,0,0,0,0,0,1,17.16969697,1810500.0,0.0,1444619.25,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7957,Providence Surgery,operating,USA,AK,3989.0,2460.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7958,Providence Surgery Centers,operating,USA,AK,3989.0,2069.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7959,Provigent,acquired,USA,CA,5816.0,1725.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,16.39393939,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7961,Proxibid,operating,USA,NE,5269.0,5160.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7,16.88888889,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7962,Proximetry,operating,USA,CA,3989.0,823.0,823.0,0.0,0.0,0.0,1,0,0,0,0,1,18.72727273,3900000.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
